record_id,date_reported,lob,region,control_id,control_type,control_failed,delayed_attestation_count,threshold_breach,approval_delay_hrs,manager_override_flag,prior_incident_flag,audit_flagged_comment,risk_rating,regulatory_breach
rec_00000,13-04-2023,Risk Management,APAC,CTL-367,Corrective,FALSE,0,FALSE,25,FALSE,FALSE,FALSE,Low,FALSE
rec_00001,17-03-2023,Retail Banking,APAC,CTL-870,Corrective,TRUE,0,FALSE,21.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00002,04-07-2024,Compliance,LATAM,CTL-824,Preventive,TRUE,0,FALSE,33.5,TRUE,FALSE,FALSE,Medium,FALSE
rec_00003,07-08-2023,Treasury,NA,CTL-563,Detective,TRUE,0,FALSE,18.7,FALSE,FALSE,FALSE,Medium,FALSE
rec_00004,02-06-2024,Risk Management,NA,CTL-379,Preventive,TRUE,1,FALSE,22.3,FALSE,TRUE,FALSE,Low,TRUE
rec_00005,29-09-2023,Risk Management,NA,CTL-351,Corrective,TRUE,1,TRUE,15.3,FALSE,FALSE,FALSE,High,FALSE
rec_00006,16-05-2023,Risk Management,LATAM,CTL-778,Detective,FALSE,2,FALSE,32.1,TRUE,FALSE,TRUE,Medium,FALSE
rec_00007,24-12-2023,Treasury,LATAM,CTL-429,Detective,FALSE,2,FALSE,25.4,FALSE,FALSE,FALSE,High,TRUE
rec_00008,12-03-2023,Risk Management,LATAM,CTL-449,Corrective,FALSE,1,TRUE,21.2,FALSE,FALSE,FALSE,Low,FALSE
rec_00009,08-09-2023,Treasury,LATAM,CTL-315,Corrective,TRUE,0,FALSE,22.5,TRUE,FALSE,FALSE,Medium,FALSE
rec_00010,14-01-2024,Risk Management,LATAM,CTL-570,Corrective,TRUE,1,FALSE,23.8,TRUE,FALSE,FALSE,High,FALSE
rec_00011,19-10-2023,Retail Banking,NA,CTL-713,Corrective,FALSE,3,FALSE,9.6,TRUE,TRUE,FALSE,Medium,FALSE
rec_00012,11-06-2023,Retail Banking,EMEA,CTL-436,Detective,FALSE,2,TRUE,35.6,TRUE,TRUE,FALSE,Low,FALSE
rec_00013,24-03-2024,Treasury,LATAM,CTL-116,Preventive,TRUE,1,FALSE,35,FALSE,FALSE,FALSE,Medium,FALSE
rec_00014,10-07-2024,Retail Banking,EMEA,CTL-808,Detective,TRUE,1,FALSE,24.4,FALSE,FALSE,FALSE,Low,TRUE
rec_00015,21-12-2024,Treasury,APAC,CTL-236,Detective,FALSE,1,FALSE,23.3,FALSE,FALSE,FALSE,Medium,FALSE
rec_00016,06-11-2023,Retail Banking,APAC,CTL-761,Detective,FALSE,2,FALSE,14,FALSE,FALSE,FALSE,Low,FALSE
rec_00017,18-09-2024,Retail Banking,LATAM,CTL-102,Detective,FALSE,1,FALSE,41.3,FALSE,TRUE,TRUE,Low,FALSE
rec_00018,31-10-2024,Treasury,APAC,CTL-723,Corrective,FALSE,1,FALSE,38.9,FALSE,FALSE,FALSE,Medium,FALSE
rec_00019,25-06-2024,Compliance,EMEA,CTL-587,Preventive,FALSE,0,TRUE,27.9,FALSE,FALSE,TRUE,Low,TRUE
rec_00020,09-01-2023,Retail Banking,APAC,CTL-104,Detective,FALSE,0,FALSE,32.2,TRUE,TRUE,FALSE,Low,FALSE
rec_00021,14-11-2024,Risk Management,APAC,CTL-109,Detective,TRUE,0,FALSE,36.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00022,21-07-2024,Compliance,EMEA,CTL-788,Preventive,FALSE,1,FALSE,34.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00023,03-11-2023,Treasury,APAC,CTL-277,Corrective,TRUE,2,FALSE,15.4,FALSE,TRUE,FALSE,Low,TRUE
